LEAID,LEA_NAME,LEA_TYPE_TEXT,STABR,STATENAME,LCITY,LSTATE,LZIP,GSLO,GSHI,AGCHRT,SCH,TOTTCH,TOTGUI,MEMBER,AM,AS,HI,BL,WH,HP,TR
200180,Anchorage School District,Regular local school district that is NOT a component of a supervisory union,AK,ALASKA,Anchorage,AK,99504,PK,12,2,98,2816,114,48324,4200,5147,5492,2780,20739,2689,7277
200800,Chugach School District,Regular local school district that is NOT a component of a supervisory union,AK,ALASKA,Anchorage,AK,99507,PK,12,3,4,15,0,363,48,9,21,1,248,11,25
200010,Aleutian Region School District,Regular local school district that is NOT a component of a supervisory union,AK,ALASKA,Anchorage,AK,99518,PK,12,3,2,4,0,35,14,2,9,0,3,4,3
200004,Yupiit School District,Regular local school district that is NOT a component of a supervisory union,AK,ALASKA,Akiachak,AK,99551,PK,12,3,3,38,3,461,448,0,1,0,8,0,4
200760,Kuspuk School District,Regular local school district that is NOT a component of a supervisory union,AK,ALASKA,Aniak,AK,99557,PK,12,3,9,30,1,410,400,0,0,0,10,0,0
200001,Lower Kuskokwim School District,Regular local school district that is NOT a component of a supervisory union,AK,ALASKA,Bethel,AK,99559,PK,12,2,28,285,3,4293,4097,18,25,8,134,0,11
200005,Kashunamiut School District,Regular local school district that is NOT a component of a supervisory union,AK,ALASKA,Chevak,AK,99563,PK,12,3,1,22,1,333,332,0,0,0,1,0,0
200060,Cordova City School District,Regular local school district that is NOT a component of a supervisory union,AK,ALASKA,Cordova,AK,99574,PK,12,3,3,21,1,368,61,53,26,2,182,19,25
200120,Dillingham City School District,Regular local school district that is NOT a component of a supervisory union,AK,ALASKA,Dillingham,AK,99576,PK,12,3,3,43,1,455,241,1,9,0,53,0,151
200710,Southwest Region School District,Regular local school district that is NOT a component of a supervisory union,AK,ALASKA,Dillingham,AK,99576,PK,12,3,8,50,2,591,568,0,1,0,6,0,16
200070,Copper River School District,Regular local school district that is NOT a component of a supervisory union,AK,ALASKA,Glennallen,AK,99588,PK,12,3,6,27,1,426,182,2,5,5,198,12,22
200485,Lake and Peninsula Borough School District,Regular local school district that is NOT a component of a supervisory union,AK,ALASKA,King Salmon,AK,99613,PK,12,3,15,47,2,341,273,0,1,7,38,0,22
200480,Kodiak Island Borough School District,Regular local school district that is NOT a component of a supervisory union,AK,ALASKA,Kodiak,AK,99615,PK,12,3,15,159,7,2434,484,597,243,10,913,30,157
200520,Iditarod Area School District,Regular local school district that is NOT a component of a supervisory union,AK,ALASKA,McGrath,AK,99627,PK,12,3,8,20,0,310,180,3,12,1,106,2,6
200003,Lower Yukon School District,Regular local school district that is NOT a component of a supervisory union,AK,ALASKA,Mountain Village,AK,99632,PK,12,3,11,140,10,2030,2019,5,0,0,5,0,1
200030,Bristol Bay Borough School District,Regular local school district that is NOT a component of a supervisory union,AK,ALASKA,Naknek,AK,99633,PK,12,3,3,10,0,132,67,5,2,2,45,0,11
200510,Matanuska-Susitna Borough School District,Regular local school district that is NOT a component of a supervisory union,AK,ALASKA,Palmer,AK,99645,PK,12,2,46,1034,32,18742,2848,408,519,328,13501,238,900
200680,Saint Mary's School District,Regular local school district that is NOT a component of a supervisory union,AK,ALASKA,Saint Mary's,AK,99658,PK,12,3,1,14,1,213,207,0,0,0,3,0,3
200670,Pribilof School District,Regular local school district that is NOT a component of a supervisory union,AK,ALASKA,St. Paul Island,AK,99660,PK,12,3,2,8,0,82,80,0,0,0,2,0,0
200007,Aleutians East Borough School District,Regular local school district that is NOT a component of a supervisory union,AK,ALASKA,Sand Point,AK,99661,PK,12,3,7,30,0,240,183,10,7,0,28,7,5
200390,Kenai Peninsula Borough School District,Regular local school district that is NOT a component of a supervisory union,AK,ALASKA,Soldotna,AK,99669,PK,12,2,43,595,14,8992,834,90,376,39,6603,41,1009
200020,Bering Strait School District,Regular local school district that is NOT a component of a supervisory union,AK,ALASKA,Unalakleet,AK,99684,PK,12,3,15,174,11,1895,1869,1,0,1,22,0,2
200720,Unalaska City School District,Regular local school district that is NOT a component of a supervisory union,AK,ALASKA,Unalaska,AK,99685,PK,12,3,2,32,1,378,52,174,42,5,88,14,3
200780,Valdez City School District,Regular local school district that is NOT a component of a supervisory union,AK,ALASKA,Valdez,AK,99686,PK,12,3,4,49,2,642,82,14,36,5,419,9,77
200840,Yakutat School District,Regular local school district that is NOT a component of a supervisory union,AK,ALASKA,Yakutat,AK,99689,PK,12,3,2,7,0,85,55,4,2,0,21,0,3
200600,Fairbanks North Star Borough School District,Regular local school district that is NOT a component of a supervisory union,AK,ALASKA,Fairbanks,AK,99701,PK,12,2,35,771,42,13901,1294,321,1171,661,8308,159,1987
200862,Yukon-Koyukuk School District,Regular local school district that is NOT a component of a supervisory union,AK,ALASKA,Fairbanks,AK,99709,PK,12,3,10,49,3,1591,477,25,41,34,918,10,86
200610,North Slope Borough School District,Regular local school district that is NOT a component of a supervisory union,AK,ALASKA,Barrow,AK,99723,PK,12,3,11,148,5,2047,1630,116,10,10,37,62,182
200100,Delta-Greely School District,Regular local school district that is NOT a component of a supervisory union,AK,ALASKA,Delta Junction,AK,99737,PK,12,3,6,48,2,777,24,7,61,17,626,8,34
200775,Yukon Flats School District,Regular local school district that is NOT a component of a supervisory union,AK,ALASKA,Ft. Yukon,AK,99740,PK,12,3,10,29,1,261,256,0,0,0,3,0,2
200130,Galena City School District,Regular local school district that is NOT a component of a supervisory union,AK,ALASKA,Galena,AK,99741,PK,12,3,4,65,2,4329,626,49,107,51,3340,27,129
200770,Denali Borough School District,Regular local school district that is NOT a component of a supervisory union,AK,ALASKA,Healy,AK,99743,PK,12,3,4,26,0,872,50,21,68,41,569,8,115
200625,Northwest Arctic Borough School District,Regular local school district that is NOT a component of a supervisory union,AK,ALASKA,Kotzebue,AK,99752,PK,12,3,13,139,7,2173,2013,3,3,10,66,1,77
200540,Nenana City School District,Regular local school district that is NOT a component of a supervisory union,AK,ALASKA,Nenana,AK,99760,PK,12,3,2,21,2,1090,223,22,55,33,623,22,112
200570,Nome Public Schools,Regular local school district that is NOT a component of a supervisory union,AK,ALASKA,Nome,AK,99762,PK,12,2,5,51,1,715,513,7,7,4,88,0,96
200715,Tanana City School District,Regular local school district that is NOT a component of a supervisory union,AK,ALASKA,Tanana,AK,99777,PK,12,3,1,5,0,37,36,0,0,0,1,0,0
200050,Alaska Gateway School District,Regular local school district that is NOT a component of a supervisory union,AK,ALASKA,Tok,AK,99780,PK,12,3,8,30,1,378,224,7,1,1,132,0,13
200210,Juneau Borough School District,Regular local school district that is NOT a component of a supervisory union,AK,ALASKA,Juneau,AK,99801,PK,12,2,15,283,13,4851,893,326,283,69,2411,151,718
200730,Chatham School District,Regular local school district that is NOT a component of a supervisory union,AK,ALASKA,Angoon,AK,99820,PK,12,3,5,19,0,172,83,0,0,8,76,0,5
200270,Haines Borough School District,Regular local school district that is NOT a component of a supervisory union,AK,ALASKA,Haines,AK,99827,PK,12,3,4,22,1,281,38,7,11,1,217,2,5
200300,Hoonah City School District,Regular local school district that is NOT a component of a supervisory union,AK,ALASKA,Hoonah,AK,99829,PK,12,3,2,10,0,116,69,2,7,1,15,0,22
200360,Kake City School District,Regular local school district that is NOT a component of a supervisory union,AK,ALASKA,Kake,AK,99830,PK,12,3,1,11,0,108,95,2,0,0,11,0,0
200630,Pelican City School District,Regular local school district that is NOT a component of a supervisory union,AK,ALASKA,Pelican,AK,99832,KG,12,3,1,1,0,14,0,0,0,0,8,0,6
200660,Petersburg Borough School District,Regular local school district that is NOT a component of a supervisory union,AK,ALASKA,Petersburg,AK,99833,PK,12,3,3,31,3,459,66,23,21,8,330,10,1
200006,Mount Edgecumbe High School Agency,State agency providing elementary and/or secondary level instruction,AK,ALASKA,Sitka,AK,99835,9,12,3,1,22,1,426,360,6,0,2,50,2,6
200240,Sitka School District,Regular local school district that is NOT a component of a supervisory union,AK,ALASKA,Sitka,AK,99835,PK,12,3,6,101,5,1334,384,121,54,15,679,16,65
200690,Skagway School District,Regular local school district that is NOT a component of a supervisory union,AK,ALASKA,Skagway,AK,99840,PK,12,3,1,11,0,108,3,8,2,0,85,0,10
200150,Ketchikan Gateway Borough School District,Regular local school district that is NOT a component of a supervisory union,AK,ALASKA,Ketchikan,AK,99901,PK,12,2,10,154,8,2340,713,227,59,23,1183,32,103
200700,Southeast Island School District,Regular local school district that is NOT a component of a supervisory union,AK,ALASKA,Thorne Bay,AK,99919,PK,12,3,11,20,0,184,15,0,6,1,139,0,23
200090,Craig City School District,Regular local school district that is NOT a component of a supervisory union,AK,ALASKA,Craig,AK,99921,PK,12,3,4,29,1,523,104,10,12,1,333,1,62
200330,Hydaburg City School District,Regular local school district that is NOT a component of a supervisory union,AK,ALASKA,Hydaburg,AK,99922,PK,12,3,2,9,0,88,63,0,0,0,3,5,17
200450,Klawock City School District,Regular local school district that is NOT a component of a supervisory union,AK,ALASKA,Klawock,AK,99925,PK,12,3,1,13,0,116,74,0,9,0,21,0,12
200525,Annette Island School District,Regular local school district that is NOT a component of a supervisory union,AK,ALASKA,Metlakatla,AK,99926,PK,12,3,4,25,2,337,324,4,1,1,7,0,0
200810,Wrangell Public School District,Regular local school district that is NOT a component of a supervisory union,AK,ALASKA,Wrangell,AK,99929,PK,12,3,3,22,1,274,73,9,2,5,127,0,58
100041,Developing Alabama Youth Prog,State agency providing elementary and/or secondary level instruction,AL,ALABAMA,Alabaster,AL,35007,7,11,3,1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
100190,Alabaster City,State agency providing elementary and/or secondary level instruction,AL,ALABAMA,Alabaster,AL,35007,KG,12,3,7,345,14,6103,13,75,1053,1144,3653,7,158
100030,Alexander City,Regular local school district that is NOT a component of a supervisory union,AL,ALABAMA,Alexander City,AL,35010,PK,12,3,5,178,8,3102,1,29,177,1211,1609,2,73
100100,Arab City,Regular local school district that is NOT a component of a supervisory union,AL,ALABAMA,Arab,AL,35016,PK,12,3,4,163,5,2540,8,31,50,5,2409,3,34
100330,Bessemer City,Regular local school district that is NOT a component of a supervisory union,AL,ALABAMA,Bessemer,AL,35020,PK,12,3,9,208,8,3740,8,1,262,3378,80,0,11
100360,Bibb County,Regular local school district that is NOT a component of a supervisory union,AL,ALABAMA,Centreville,AL,35042,PK,12,3,9,188,9,3322,4,9,77,736,2463,0,33
100660,Chilton County,Regular local school district that is NOT a component of a supervisory union,AL,ALABAMA,Clanton,AL,35045,PK,12,3,13,441,15,7743,12,36,1039,906,5565,2,183
103030,Shelby County,Regular local school district that is NOT a component of a supervisory union,AL,ALABAMA,Columbiana,AL,35051,PK,12,3,31,1176,48,20064,39,393,1284,3042,14828,15,463
100990,Cullman City,Regular local school district that is NOT a component of a supervisory union,AL,ALABAMA,Cullman,AL,35055,KG,12,3,7,189,7,3130,12,43,238,23,2733,14,67
101020,Cullman County,Regular local school district that is NOT a component of a supervisory union,AL,ALABAMA,Cullman,AL,35055,PK,12,3,29,552,23,9573,18,19,714,87,8326,3,406
101440,Fairfield City,Regular local school district that is NOT a component of a supervisory union,AL,ALABAMA,Fairfield,AL,35064,PK,12,3,6,99,5,1782,2,1,36,1735,5,0,3
100011,Leeds City,Regular local school district that is NOT a component of a supervisory union,AL,ALABAMA,Leeds,AL,35094,KG,12,3,3,76,5,1905,2,13,241,433,1148,5,63
