GEO.display-label Geography,Zip, HC03_EST_VC02 Median income (dollars); Estimate; Households 
ZCTA5,00601," $11,757.00 "
ZCTA5,00602," $16,190.00 "
ZCTA5,00603," $16,645.00 "
ZCTA5,00606," $13,387.00 "
ZCTA5,00610," $18,741.00 "
ZCTA5,00612," $17,744.00 "
ZCTA5,00616," $14,918.00 "
ZCTA5,00617," $17,157.00 "
ZCTA5,00622," $16,727.00 "
ZCTA5,00623," $16,401.00 "
ZCTA5,00624," $16,832.00 "
ZCTA5,00627," $17,579.00 "
ZCTA5,00631," $9,632.00 "
ZCTA5,00637," $15,736.00 "
ZCTA5,00638," $14,448.00 "
ZCTA5,00641," $16,292.00 "
ZCTA5,00646," $29,160.00 "
ZCTA5,00647," $13,071.00 "
ZCTA5,00650," $16,095.00 "
ZCTA5,00652," $20,564.00 "
ZCTA5,00653," $12,236.00 "
ZCTA5,00656," $14,966.00 "
ZCTA5,00659," $17,770.00 "
ZCTA5,00660," $19,674.00 "
ZCTA5,00662," $16,771.00 "
ZCTA5,00664," $15,401.00 "
ZCTA5,00667," $13,843.00 "
ZCTA5,00669," $12,996.00 "
ZCTA5,00670," $14,456.00 "
ZCTA5,00674," $18,032.00 "
ZCTA5,00676," $13,416.00 "
ZCTA5,00677," $18,333.00 "
ZCTA5,00678," $15,730.00 "
ZCTA5,00680," $14,500.00 "
ZCTA5,00682," $15,315.00 "
ZCTA5,00683," $15,043.00 "
ZCTA5,00685," $14,128.00 "
ZCTA5,00687," $18,739.00 "
ZCTA5,00688," $15,918.00 "
ZCTA5,00690," $18,491.00 "
ZCTA5,00692," $18,076.00 "
ZCTA5,00693," $18,971.00 "
ZCTA5,00694," $14,375.00 "
ZCTA5,00698," $14,487.00 "
ZCTA5,00703," $16,532.00 "
ZCTA5,00704," $13,960.00 "
ZCTA5,00705," $18,207.00 "
ZCTA5,00707," $17,489.00 "
ZCTA5,00714," $15,820.00 "
ZCTA5,00715," $12,440.00 "
ZCTA5,00716," $18,514.00 "
ZCTA5,00717," $11,269.00 "
ZCTA5,00718," $18,998.00 "
ZCTA5,00719," $18,401.00 "
ZCTA5,00720," $14,533.00 "
ZCTA5,00723," $14,554.00 "
ZCTA5,00725," $20,374.00 "
ZCTA5,00727," $30,797.00 "
ZCTA5,00728," $18,097.00 "
ZCTA5,00729," $20,508.00 "
ZCTA5,00730," $15,367.00 "
ZCTA5,00731," $16,389.00 "
ZCTA5,00735," $18,947.00 "
ZCTA5,00736," $20,166.00 "
ZCTA5,00738," $19,284.00 "
ZCTA5,00739," $20,619.00 "
ZCTA5,00740," $12,934.00 "
ZCTA5,00741," $22,766.00 "
ZCTA5,00745," $22,909.00 "
ZCTA5,00751," $16,188.00 "
ZCTA5,00754," $18,594.00 "
ZCTA5,00757," $16,816.00 "
ZCTA5,00765," $16,149.00 "
ZCTA5,00766," $19,595.00 "
ZCTA5,00767," $15,573.00 "
ZCTA5,00769," $19,215.00 "
ZCTA5,00771," $20,332.00 "
ZCTA5,00772," $15,032.00 "
ZCTA5,00773," $19,377.00 "
ZCTA5,00775," $23,092.00 "
ZCTA5,00777," $18,684.00 "
ZCTA5,00778," $32,708.00 "
ZCTA5,00780," $21,834.00 "
ZCTA5,00782," $13,073.00 "
ZCTA5,00783," $14,476.00 "
ZCTA5,00784," $15,653.00 "
ZCTA5,00786,
ZCTA5,00791," $18,595.00 "
ZCTA5,00794," $15,667.00 "
ZCTA5,00795," $20,430.00 "
ZCTA5,00901," $16,929.00 "
ZCTA5,00906," $101,346.00 "
ZCTA5,00907," $32,601.00 "
ZCTA5,00909," $17,959.00 "
ZCTA5,00911," $30,978.00 "
ZCTA5,00912," $21,744.00 "
ZCTA5,00913," $5,902.00 "
ZCTA5,00915," $14,048.00 "
ZCTA5,00917," $15,508.00 "
ZCTA5,00918," $23,333.00 "
ZCTA5,00920," $25,433.00 "
ZCTA5,00921," $18,690.00 "
ZCTA5,00923," $14,041.00 "
ZCTA5,00924," $19,303.00 "
ZCTA5,00925," $9,903.00 "
ZCTA5,00926," $33,624.00 "
ZCTA5,00927," $32,932.00 "
ZCTA5,00934,
ZCTA5,00936,
ZCTA5,00949," $26,032.00 "
ZCTA5,00950,
ZCTA5,00951,
ZCTA5,00952," $15,434.00 "
ZCTA5,00953," $29,837.00 "
ZCTA5,00956," $23,322.00 "
ZCTA5,00957," $24,438.00 "
ZCTA5,00959," $29,737.00 "
ZCTA5,00960,
ZCTA5,00961," $28,455.00 "
ZCTA5,00962," $16,135.00 "
ZCTA5,00965," $15,369.00 "
ZCTA5,00966," $51,318.00 "
ZCTA5,00968," $45,811.00 "
ZCTA5,00969," $51,604.00 "
ZCTA5,00971," $20,604.00 "
ZCTA5,00976," $30,801.00 "
ZCTA5,00979," $34,284.00 "
ZCTA5,00982," $25,935.00 "
ZCTA5,00983," $27,149.00 "
ZCTA5,00985," $24,834.00 "
